;Miesiąc;Maksymalna temperatura dobowa;Minimalna temperatura dobowa;Średnia temperatura dobowa;Temperatura minimalna przy gruncie;Suma dobowa opadu;Wysokość pokrywy śnieżnej;Równoważnik wodny śniegu;Usłonecznienie;Czas trwania opadu deszczu;Czas trwania opadu śniegu;Czas trwania opadu deszczu ze śniegiem;Czas trwania gradu;Czas trwania mgły;Czas trwania zamglenia;Czas trwania sadzi;Czas trwania gołoledzi;Czas trwania zamieci śnieżnej niskiej;Czas trwania zamieci śnieżnej wysokiej;Czas trwania zmętnienia;Czas trwania wiatru >=10m/s;Czas trwania wiatru >15m/s;Czas trwania burzy;Czas trwania rosy;Czas trwania szronu;Wystąpienie pokrywy śnieżnej;Izoterma dolna;Izoterma górna;Aktynometria;Miesiąc;Średnie dobowe zachmurzenie ogólne;Średnia dobowa prędkość wiatru;Średnia dobowe ciśnienie pary wodnej;Średnia dobowa wilgotność względna;Średnia dobowe ciśnienie na poziomie stacji;Średnie dobowe ciśnienie na pozimie morza;Suma opadu dzień;Suma opadu noc;PM10;Dzień tygodnia;PM10_prev;PM10_next
2001-05-29;5.0;17.0;12.4;14.2;12.4;8.2;0.0;0.0;7.7;5.1;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.9;5.5;13.6;84.6;995.6;1008.3;4.8;3.4;18.6;1;20.5;16.7
2001-05-30;5.0;15.6;9.9;11.7;9.9;3.8;0.0;0.0;5.9;5.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;6.6;7.0;12.3;89.9;996.6;1009.4;2.4;1.4;16.7;2;18.6;21.1
2001-06-05;6.0;17.8;7.0;12.8;6.4;0.0;0.0;0.0;12.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;3.4;4.8;10.3;72.3;1004.1;1017.0;0.0;0.0;24.8;1;18;26
2001-06-06;6.0;17.3;9.4;13.3;8.4;0.0;0.0;0.0;9.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;6.0;5.8;2.0;10.7;71.5;1001.4;1014.2;0.0;0.0;26;2;24.8;39.7
2001-06-11;6.0;15.5;10.6;11.6;10.6;1.0;0.0;0.0;0.2;7.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;7.3;4.1;12.4;90.8;997.8;1010.6;1.0;0.0;21.1;0;27.3;21.7
2001-06-19;6.0;19.3;11.4;15.2;10.6;0.0;0.0;0.0;6.9;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;6.4;4.6;14.1;81.8;1002.7;1015.4;0.0;0.0;22.3;1;20.5;21.7
2001-06-20;6.0;22.5;12.8;17.2;12.6;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;5.9;4.0;15.1;77.5;1003.7;1016.4;0.0;0.0;21.7;2;22.3;29.1
2001-07-03;7.0;21.2;12.2;17.1;11.5;0.0;0.0;0.0;8.4;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;7.0;6.0;3.5;16.8;86.1;1008.6;1021.3;0.0;0.0;19.2;1;26.7;19.2
2001-07-04;7.0;26.0;16.7;20.0;15.4;0.0;0.0;0.0;11.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;7.0;6.0;2.8;18.6;80.8;1006.0;1018.6;0.0;0.0;19.2;2;19.2;22.3
2001-07-10;7.0;23.2;16.1;19.0;16.0;0.8;0.0;0.0;1.7;4.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;7.0;4.5;17.6;81.3;999.0;1011.5;0.8;0.0;18;1;31;27.9
2001-07-11;7.0;28.3;12.8;20.9;11.9;1.2;0.0;0.0;11.5;2.6;0.0;0.0;0.0;0.0;1.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;5.3;3.9;17.8;74.3;999.6;1012.1;0.0;1.2;27.9;2;18;22.9
2001-07-16;7.0;34.3;18.6;26.4;18.0;9.2;0.0;0.0;13.1;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;4.6;3.9;21.7;66.5;998.3;1010.5;0.0;9.2;48.4;0;15.5;37.2
2001-07-17;7.0;28.8;16.1;20.3;16.0;29.8;0.0;0.0;8.0;6.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.2;4.7;0.0;0.0;0.0;0.0;0.0;0.0;7.0;6.6;2.6;20.3;86.4;994.6;1007.0;23.8;6.0;37.2;1;48.4;20.5
2001-07-18;7.0;21.5;15.2;17.1;15.9;0.0;0.0;0.0;6.2;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.1;0.0;0.0;0.0;0.0;0.0;7.0;6.5;4.4;18.1;93.1;992.8;1005.3;0.0;0.0;20.5;2;37.2;29.1
2001-07-19;7.0;25.8;10.8;19.1;9.5;7.0;0.0;0.0;11.8;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;4.0;2.8;15.8;73.9;996.7;1009.2;0.0;7.0;29.1;3;20.5;26.7
